ID,sub_distance,POI200,POI400-200,POI800-400,200Sum_BldgAr,Sum_Blgd_400-200,Sum_Blgd_800-400,fra_comm,fra_res,fra_off,fra_reta,pop,housing_un,HH_low,HH_medium,HH_high,employment
3469,518.18,1,5,22,1919865,2707734,7626040,0.314289249,0.664892935,0.047024643,0.057251727,31522,17302,4629,6638,3857,19849
3472,556.1,9,31,73,6835392,8798268,23729076,0.391819994,0.572062445,0.214414135,0.081501753,69299,44737,9329,10929,18814,44286
3474,39.65,12,22,104,5277206,20121724,50020997,0.497337952,0.362141613,0.303546197,0.08583343,40059,22289,4538,4813,9410,24173
3477,594.3,3,11,56,7333821,5791042,6584538,0.829697361,0.142969845,0.041845665,0.029886702,54932,18372,7231,7124,2668,25187
3478,494.15,9,8,46,6839256,4955590,6951735,0.835762265,0.141513698,0.04149642,0.027652882,54932,18372,7231,7124,2668,25187
3479,2007.56,2,3,9,2725731,0,297000,1,0,0.002646613,0,1483,10,0,0,0,114
3486,30.13,5,29,159,5818589,14144185,33161634,0.550100869,0.404335442,0.295451499,0.099087881,35373,17033,4840,4434,5811,18202
3489,183.9,18,48,172,6675060,21736770,174554294,0.314980612,0.149048952,0.213681609,0.024520693,37506,22827,2769,4941,11221,24811
3490,454.44,19,38,151,3438867,6752669,21938892,0.297937083,0.697955906,0.0333149,0.072590381,60465,24283,12993,7059,2131,21651
3491,649.18,10,50,122,2847546,8439568,14528093,0.340577126,0.655899796,0.048869296,0.079739279,60465,24283,12993,7059,2131,21651
3492,173.21,8,42,189,3415993,8894119,22349356,0.283724032,0.708652683,0.057365162,0.06406489,60465,24283,12993,7059,2131,21651
3493,252.22,10,45,175,3195516,10002701,21766011,0.313092112,0.682548832,0.04374368,0.070009926,60465,24283,12993,7059,2131,21651
3494,69.48,18,47,179,3717884,7577749,27517472,0.263757641,0.730942036,0.039333648,0.051014986,60465,24283,12993,7059,2131,21651
3495,661.9,20,34,138,2116720,8151266,17498997,0.277223925,0.716207015,0.027018672,0.069327806,60465,24283,12993,7059,2131,21651
3496,643.38,13,49,150,5249973,4189129,19392735,0.257851277,0.735718123,0.024552789,0.069553598,60465,24283,12993,7059,2131,21651
3497,890.15,8,33,111,3205810,3840939,13779404,0.313947948,0.682578871,0.022730026,0.075313381,60465,24283,12993,7059,2131,21651
3498,915.93,16,23,112,2174380,3799382,11394783,0.359072162,0.636261932,0.039544763,0.081074149,60465,24283,12993,7059,2131,21651
3499,432.03,16,38,138,3290889,6603194,14566070,0.363510686,0.632688724,0.054916091,0.079969328,60465,24283,12993,7059,2131,21651
3500,300.24,20,43,167,3735632,8149957,23062558,0.255569086,0.735144413,0.039479146,0.051376572,60465,24283,12993,7059,2131,21651
3501,373.73,6,39,181,3101514,8608502,26303461,0.28400909,0.701379882,0.064840477,0.068504915,60465,24283,12993,7059,2131,21651
3502,61.14,21,52,194,4001220,8005800,26170160,0.245095159,0.748787758,0.029794029,0.048434615,59794,24934,11393,7302,4179,25853
3503,431.59,7,40,170,2114685,7115238,27096876,0.312949484,0.673420056,0.078885288,0.069521843,60465,24283,12993,7059,2131,21651
3504,131.9,18,35,151,3821850,7317531,19150353,0.288944961,0.699157147,0.062300844,0.058230488,60465,24283,12993,7059,2131,21651
3505,148.6,19,30,134,2906788,4918739,19821060,0.300907378,0.686632205,0.069618322,0.049319795,60465,24283,12993,7059,2131,21651
3506,301.71,21,26,183,3519694,7150990,21155450,0.294356267,0.698960766,0.056732275,0.062771557,60465,24283,12993,7059,2131,21651
3507,205.08,14,42,146,2836789,6637367,24410748,0.318564338,0.664616403,0.07158949,0.065827337,60465,24283,12993,7059,2131,21651
3508,94.82,9,43,178,4051779,7832472,32156557,0.354027179,0.620069164,0.10736942,0.05436928,46694,21560,8108,6333,4065,21360
3509,75.72,15,37,132,3449774,7648937,23688935,0.199797422,0.783471437,0.026793391,0.038135636,46694,21560,8108,6333,4065,21360
3510,362.41,19,38,154,4178887,7838392,28857769,0.272417686,0.696134767,0.075373612,0.065329391,46694,21560,8108,6333,4065,21360
3511,249.94,16,24,123,3691477,9659376,36597428,0.436665718,0.549514066,0.032145771,0.033209932,46694,21560,8108,6333,4065,21360
3512,1451.79,13,26,23,2412287,1204320,4721285,0.298596936,0.6878837,0.015330733,0.030959864,26470,12071,4405,4385,2168,14231
3513,718.17,4,6,37,654538,3227742,10020666,0.17210935,0.803709732,0.020116456,0.03210075,49001,22399,5797,9978,5018,26706
3514,1148.03,3,4,60,622312,1474167,7012610,0.179327044,0.800199778,0.015355213,0.023224276,438,173,46,59,57,174
3515,383.76,0,11,28,1231384,3294876,10106135,0.167756133,0.798950343,0.021353579,0.046150545,49001,22399,5797,9978,5018,26706
3516,58.25,4,6,28,1424323,4517622,13158600,0.165393029,0.807111368,0.034530114,0.058671991,26470,12071,4405,4385,2168,14231
3517,21.48,5,6,32,1054309,4021609,13391145,0.175499374,0.795647689,0.035334206,0.061872318,49001,22399,5797,9978,5018,26706
3518,54.7,10,59,166,3402464,8019833,28745397,0.300402084,0.667965256,0.056865276,0.064854607,46694,21560,8108,6333,4065,21360
3520,276.11,12,35,139,3113117,8988145,40822892,0.45826023,0.52559253,0.048218343,0.046454233,46694,21560,8108,6333,4065,21360
3521,34.59,8,35,131,2619932,5923680,21638906,0.179940852,0.806563554,0.026898385,0.030232103,46694,21560,8108,6333,4065,21360
3522,466.27,3,9,22,988773,3502723,12287609,0.193305185,0.775715391,0.040484877,0.071527713,49001,22399,5797,9978,5018,26706
3523,215.09,2,8,31,1285286,3037493,12567101,0.177384386,0.790732379,0.030353857,0.056706383,49001,22399,5797,9978,5018,26706
3524,839.2,0,8,32,709823,1222898,8332270,0.165609984,0.805620969,0.011046673,0.02981045,49001,22399,5797,9978,5018,26706
3525,322.32,1,5,29,1002501,3467377,9192008,0.142170781,0.81719215,0.020394329,0.049640218,49001,22399,5797,9978,5018,26706
3526,26.48,4,7,27,1249132,3972954,9824264,0.172985874,0.791028522,0.021684528,0.053069017,49001,22399,5797,9978,5018,26706
3527,359.52,16,42,176,2872870,6476828,27689253,0.335283254,0.633195011,0.074029337,0.061321985,60465,24283,12993,7059,2131,21651
3528,551.25,3,12,23,1172041,2888244,10256822,0.228781345,0.735085028,0.04284902,0.064012234,49001,22399,5797,9978,5018,26706
3529,363.04,20,43,176,3075123,8972839,26591718,0.319428008,0.635684017,0.062077869,0.059253648,78193,37771,17035,12408,3760,32246
3530,435.25,0,6,30,1263514,2900171,7447730,0.157607062,0.802083639,0.016104411,0.049239477,49001,22399,5797,9978,5018,26706
3531,223.27,20,38,180,3205627,8586676,30116771,0.35598904,0.603355207,0.103998647,0.059138744,78193,37771,17035,12408,3760,32246
3532,885.01,0,7,54,768793,1523833,4484760,0.116816572,0.831097565,0.005093409,0.022726166,438,173,46,59,57,174
3533,57.32,12,48,170,3823502,8795636,30647504,0.369978077,0.603471792,0.137864223,0.056783399,78193,37771,17035,12408,3760,32246
3534,80.29,10,29,155,3972260,6799550,45826350,0.482319584,0.502038883,0.06893846,0.04052183,46694,21560,8108,6333,4065,21360
3535,354.03,9,34,176,2187824,7516584,29212213,0.285342271,0.692703794,0.062329898,0.077109007,60465,24283,12993,7059,2131,21651
3536,15.37,31,56,75,6448661,8077761,32757810,0.525526776,0.446735711,0.066457799,0.012807208,54326,21908,8340,5998,5828,23969
3537,374.87,4,13,56,1854017,10703780,20709511,0.273993856,0.643469108,0.060937873,0.067088807,20449,10271,2088,3472,3834,12988
3538,380.84,7,33,152,17031480,11928630,29244326,0.412078591,0.564198045,0.054534967,0.016597223,54326,21908,8340,5998,5828,23969
3539,315.87,26,52,127,6660568,20533920,30428600,0.466328774,0.508163412,0.060082497,0.022416397,54326,21908,8340,5998,5828,23969
3540,235.24,13,27,198,2905998,12286978,29370278,0.392165639,0.57944283,0.115883503,0.048483645,54326,21908,8340,5998,5828,23969
3541,266.43,20,32,146,4539265,9070614,23164117,0.4132016,0.561070491,0.154147866,0.045984559,54326,21908,8340,5998,5828,23969
3542,389.22,23,54,128,5279798,9164032,41009994,0.501024276,0.471586017,0.068151116,0.028239153,54326,21908,8340,5998,5828,23969
3543,449.23,13,46,165,4437490,9886068,43096523,0.523521362,0.452299501,0.079930347,0.030037244,54326,21908,8340,5998,5828,23969
3544,238.49,3,16,54,1698539,5752022,22165656,0.223308905,0.703691359,0.043092911,0.034644026,20449,10271,2088,3472,3834,12988
3545,405.79,12,44,112,5838732,6007833,20916795,0.435829018,0.532426284,0.119591733,0.030581021,54326,21908,8340,5998,5828,23969
3546,348.59,1,17,67,1358069,5682140,18311202,0.227382728,0.714642353,0.032698377,0.049238837,100130,46002,19867,16170,4781,43139
3547,100.15,9,35,122,4620990,7528916,18254190,0.440484861,0.538109865,0.170991566,0.040117292,54326,21908,8340,5998,5828,23969
3549,531.02,2,12,69,1920249,5302151,20827825,0.2450811,0.681515068,0.07262915,0.035363781,20449,10271,2088,3472,3834,12988
3551,271.98,20,58,171,3151754,7768335,28306302,0.268121862,0.726292179,0.031542565,0.050433623,60465,24283,12993,7059,2131,21651
3552,181.03,24,40,97,6803873,23062875,20837350,0.503096732,0.471943708,0.062989287,0.014751648,54326,21908,8340,5998,5828,23969
3553,150.77,6,22,133,3377977,20269168,29984663,0.43883404,0.546648735,0.051574991,0.019427892,46694,21560,8108,6333,4065,21360
3554,613.7,12,25,40,1818797,6499851,7854313,0.482126433,0.448363352,0.08227337,0.020159574,18539,7678,4159,2456,668,7807
3555,171.42,6,5,75,5122707,8214268,18237447,0.566136096,0.377509808,0.260011791,0.039508118,18539,7678,4159,2456,668,7807
3556,187.48,0,19,74,3533153,8227489,18154752,0.509693471,0.411526253,0.231863669,0.024900658,18539,7678,4159,2456,668,7807
3557,414.85,9,29,59,2541583,1709597,12279260,0.395681543,0.522548341,0.064029572,0.020337511,18539,7678,4159,2456,668,7807
3558,409.12,3,16,57,1972538,5811630,24832177,0.230363703,0.689084384,0.036195993,0.047568665,20449,10271,2088,3472,3834,12988
3559,439.44,5,22,92,805939,5600956,13025124,0.408317118,0.495883933,0.08899698,0.023329125,18539,7678,4159,2456,668,7807
3560,243.42,5,12,67,2113705,4964577,18177860,0.470890566,0.458747223,0.198255102,0.029425595,18539,7678,4159,2456,668,7807
3561,93.28,3,9,29,2404941,3289800,10844199,0.557666271,0.39256349,0.163393603,0.050484312,18539,7678,4159,2456,668,7807
3562,240.62,6,13,71,2942036,4170692,19366956,0.239793081,0.714827413,0.066019481,0.04118414,100130,46002,19867,16170,4781,43139
3563,281.64,6,12,76,1688492,4678504,15319953,0.472296818,0.463445042,0.1547486,0.037467419,18539,7678,4159,2456,668,7807
3564,729.23,19,35,36,2015012,3227800,12697327,0.364848344,0.549347527,0.052414756,0.037121173,75149,36902,11508,15671,6839,42724
3565,722.41,7,18,91,1635331,2824597,9608474,0.339683427,0.580993278,0.040876924,0.029463687,18539,7678,4159,2456,668,7807
3566,371.54,7,27,53,2015828,3812020,14243557,0.331117677,0.624018996,0.068495105,0.042281594,75149,36902,11508,15671,6839,42724
3567,894.56,6,30,61,1836665,3427724,8188292,0.379748171,0.534249864,0.042850715,0.033856523,18539,7678,4159,2456,668,7807
3568,351.96,5,5,37,2224038,4420786,14046842,0.356642041,0.612772891,0.103875686,0.066678246,75149,36902,11508,15671,6839,42724
3569,155.42,3,19,61,2345549,5420847,18989302,0.235648608,0.716709951,0.065720618,0.050768737,100130,46002,19867,16170,4781,43139
3570,269.1,6,7,17,2040434,4447264,11145093,0.413263504,0.558063837,0.120792619,0.079877031,75149,36902,11508,15671,6839,42724
3571,481.48,8,10,64,2293054,5653659,18210682,0.221066891,0.716456627,0.04633336,0.046974555,100130,46002,19867,16170,4781,43139
3572,61.84,1,10,13,2106565,4304626,12538988,0.370280302,0.603425171,0.080898128,0.099650299,75149,36902,11508,15671,6839,42724
3573,349.39,3,8,19,2142476,4604184,14901139,0.30865378,0.667174755,0.076012947,0.071560762,75149,36902,11508,15671,6839,42724
3574,511.6,5,11,65,1776046,6240084,19826911,0.225479753,0.705871675,0.067978817,0.032476158,20449,10271,2088,3472,3834,12988
3575,436.21,2,20,63,2019196,4333239,13677609,0.266148392,0.709262546,0.050324952,0.041743892,75149,36902,11508,15671,6839,42724
